coin_id,date,open_usd,high_usd,low_usd,close_usd,volume_usd,market_cap_usd,extracted_at
solana,2026-03-04,81.87,89.58,77.47,87.21,5221323004.591456,49734923977.29887,2026-05-14 21:46:36
solana,2026-03-08,87.03,93.71,82.51,83.18,1895012342.4811046,47465294460.024994,2026-05-14 21:46:36
solana,2026-03-12,83.2,88.54,81.03,86.63,3989760200.81788,49493902762.530624,2026-05-14 21:46:36
solana,2026-03-16,86.57,92.91,84.89,92.16,3123676485.3457417,52658214640.90314,2026-05-14 21:46:36
solana,2026-03-20,92.25,97.26,87.28,88.85,3564823814.746558,50782637128.16761,2026-05-14 21:46:36
solana,2026-03-24,88.9,91.96,85.32,91.38,5363123768.513683,52254718805.19267,2026-05-14 21:46:36
solana,2026-03-28,91.45,93.24,82.14,82.96,3496297086.4939494,47482157575.11642,2026-05-14 21:46:36
solana,2026-04-01,82.99,84.69,79.81,83.06,4343647275.125765,47556772134.1486,2026-05-14 21:46:36
solana,2026-04-05,83.09,86.05,76.95,80.77,1691980981.3604684,46263886927.84851,2026-05-14 21:46:36
solana,2026-04-09,80.79,86.37,78.48,82.6,3688303863.5176144,47378147716.34937,2026-05-14 21:46:36
solana,2026-04-13,82.48,86.17,81.41,81.53,2905031891.801938,46868765847.09739,2026-05-14 21:46:36
solana,2026-04-17,81.54,90.1,81.54,88.99,5451132606.154013,51190830617.59945,2026-05-14 21:46:36
solana,2026-04-21,89.05,90.46,83.17,85.32,3570640461.2201595,49102916734.76123,2026-05-14 21:46:36
solana,2026-04-25,85.36,89.24,84.45,86.22,2940983190.8937225,49639088898.2636,2026-05-14 21:46:36
solana,2026-04-29,86.21,88.01,83.05,84.03,2473418274.371276,48377375336.998795,2026-05-14 21:46:36
solana,2026-05-03,84.05,85.46,81.57,84.35,1601214585.0990963,48591957857.3805,2026-05-14 21:46:36
solana,2026-05-07,84.27,89.85,83.38,89.05,4768687980.24027,51321745365.61878,2026-05-14 21:46:36
solana,2026-05-11,89.12,96.78,87.69,96.49,3359511540.6947412,55729207857.615685,2026-05-14 21:46:36
ripple,2026-02-12,1.44,1.45,1.35,1.37,,,2026-05-14 21:46:40
ripple,2026-02-16,1.37,1.66,1.35,1.47,5459731414.60024,89761800847.37251,2026-05-14 21:46:40
ripple,2026-02-20,1.47,1.51,1.39,1.41,2332530531.095171,85850017342.566,2026-05-14 21:46:40
ripple,2026-02-24,1.41,1.46,1.34,1.35,3468618376.423911,82526476193.37524,2026-05-14 21:46:40
ripple,2026-02-28,1.35,1.48,1.32,1.36,3165932989.5660076,82808396104.64316,2026-05-14 21:46:40
ripple,2026-03-04,1.36,1.43,1.27,1.36,2736394718.367275,83177383072.09982,2026-05-14 21:46:40
ripple,2026-03-08,1.36,1.47,1.35,1.36,1042569286.7491976,83045360925.16869,2026-05-14 21:46:40
ripple,2026-03-12,1.36,1.44,1.33,1.39,2328024070.527004,84824110149.1156,2026-05-14 21:46:40
ripple,2026-03-16,1.38,1.46,1.37,1.45,1990572080.7015047,88605526347.89265,2026-05-14 21:46:40
ripple,2026-03-20,1.45,1.6,1.42,1.45,2614487500.7637186,88659694188.07056,2026-05-14 21:46:40
ripple,2026-03-24,1.45,1.46,1.36,1.43,3597476600.392,87747652207.63853,2026-05-14 21:46:40
ripple,2026-03-28,1.43,1.43,1.32,1.32,2474305616.775446,81208204456.41394,2026-05-14 21:46:40
ripple,2026-04-01,1.32,1.36,1.31,1.34,2010449383.345137,82220833777.49088,2026-05-14 21:46:40
ripple,2026-04-05,1.34,1.36,1.28,1.31,922295626.815209,80718975209.79355,2026-05-14 21:46:40
ripple,2026-04-09,1.32,1.39,1.28,1.34,2578622137.447636,82449126175.14423,2026-05-14 21:46:40
ripple,2026-04-13,1.34,1.37,1.32,1.32,1736307268.9235272,81375805431.99823,2026-05-14 21:46:40
ripple,2026-04-17,1.32,1.46,1.32,1.45,4183501949.328422,89462359830.41489,2026-05-14 21:46:40
ripple,2026-04-21,1.45,1.51,1.39,1.42,2836204417.1398997,87727877250.9485,2026-05-14 21:46:40
ripple,2026-04-25,1.43,1.46,1.41,1.43,2084158113.1575637,88435453017.76625,2026-05-14 21:46:40
ripple,2026-04-29,1.43,1.45,1.37,1.38,1693206863.3377886,85164100381.18465,2026-05-14 21:46:40
ripple,2026-05-03,1.38,1.4,1.35,1.39,1179973413.3161168,86215728259.17459,2026-05-14 21:46:40
ripple,2026-05-07,1.39,1.46,1.38,1.42,2759704906.5182724,87989453388.00082,2026-05-14 21:46:40
ripple,2026-05-11,1.42,1.5,1.38,1.47,2851886672.2821317,91026505768.2578,2026-05-14 21:46:40
usd-coin,2026-02-12,0.999896,1.0,0.999767,0.999832,,,2026-05-14 21:47:43
usd-coin,2026-02-16,0.999914,1.0,0.999799,0.999903,5247322327.565422,73608499482.57,2026-05-14 21:47:43
usd-coin,2026-02-20,1.0,1.0,0.999797,0.999999,3159145864.1655126,73854460914.97928,2026-05-14 21:47:43
usd-coin,2026-02-24,0.999926,1.0,0.999795,0.999807,6705165448.168649,74770549337.12044,2026-05-14 21:47:43
usd-coin,2026-02-28,0.999804,1.0,0.999797,0.999999,5823882978.612446,75227319202.03062,2026-05-14 21:47:43
usd-coin,2026-03-04,0.999995,1.0,0.999808,0.999996,6223905597.01122,76330431281.0647,2026-05-14 21:47:43
usd-coin,2026-03-08,0.999998,1.0,0.999806,0.999999,1912573281.942883,77256826391.67438,2026-05-14 21:47:43
usd-coin,2026-03-12,0.999983,1.0,0.999809,0.999909,4127969222.477801,78807446763.98502,2026-05-14 21:47:43
usd-coin,2026-03-16,1.0,1.0,0.99972,0.999992,5550551264.2147,79149237129.9105,2026-05-14 21:47:43
usd-coin,2026-03-20,0.999977,1.0,0.999755,0.999905,7378386844.436881,79240632955.95074,2026-05-14 21:47:43
usd-coin,2026-03-24,0.999985,1.0,0.999801,0.999908,13923747715.446238,78647783334.62715,2026-05-14 21:47:43
usd-coin,2026-03-28,0.999921,1.0,0.999696,0.999838,11177968444.752247,77752987029.2416,2026-05-14 21:47:43
usd-coin,2026-04-01,0.999804,0.999864,0.999577,0.999652,9170156631.72462,77143883325.30286,2026-05-14 21:47:43
usd-coin,2026-04-05,0.999652,1.001,0.998675,0.999818,3769095692.16948,77509138422.18379,2026-05-14 21:47:43
usd-coin,2026-04-09,1.0,1.001,0.997899,1.0,14316430345.432095,78238941523.04596,2026-05-14 21:47:43
usd-coin,2026-04-13,0.999967,1.001,0.99899,0.999993,8013980071.615591,78607553190.67357,2026-05-14 21:47:43
usd-coin,2026-04-17,0.999949,1.001,0.99801,0.999871,18973134666.553078,78707562405.20102,2026-05-14 21:47:43
usd-coin,2026-04-21,0.99987,1.001,0.996876,1.0,17643419143.566917,78310274685.79256,2026-05-14 21:47:43
usd-coin,2026-04-25,0.999976,1.0,0.998342,0.999811,12598917899.577572,77760778356.9717,2026-05-14 21:47:43
usd-coin,2026-04-29,0.999805,1.0,0.997454,0.999821,13001339974.95573,77478852869.7837,2026-05-14 21:47:43
usd-coin,2026-05-03,0.999843,1.0,0.999181,0.999864,5063724791.442985,77223814288.281,2026-05-14 21:47:43
usd-coin,2026-05-07,0.999871,1.0,0.999348,0.999737,16117797383.898964,78241301484.67804,2026-05-14 21:47:43
usd-coin,2026-05-11,0.999757,1.004,0.999405,0.999899,9941017489.994709,77867228372.69023,2026-05-14 21:47:43
staked-ether,2026-02-12,2101.27,2116.28,1906.97,1938.62,,,2026-05-14 21:47:47
staked-ether,2026-02-16,1938.72,2098.58,1905.59,1963.69,43467552.789913096,18629261713.492374,2026-05-14 21:47:47
staked-ether,2026-02-20,1964.36,2028.02,1913.43,1946.29,32137222.470633846,18425340243.23182,2026-05-14 21:47:47
staked-ether,2026-02-24,1946.68,1992.54,1843.83,1851.77,53827193.41923314,17496555095.825188,2026-05-14 21:47:47
staked-ether,2026-02-28,1852.66,2118.87,1806.42,1929.45,30611427.01670218,18175381193.81838,2026-05-14 21:47:47
staked-ether,2026-03-04,1928.81,2070.98,1838.4,1984.0,35479901.64878134,18531632155.033955,2026-05-14 21:47:47
staked-ether,2026-03-08,1982.2,2184.65,1949.05,1969.71,22333888.884232324,18184004991.783047,2026-05-14 21:47:47
staked-ether,2026-03-12,1969.3,2084.16,1922.37,2051.53,25531591.644778445,18916587511.040794,2026-05-14 21:47:47
staked-ether,2026-03-16,2050.78,2195.29,2020.37,2173.13,12407092.656831069,19943731707.777473,2026-05-14 21:47:47
staked-ether,2026-03-20,2177.17,2378.35,2104.58,2136.35,21028573.58483221,19681870193.72733,2026-05-14 21:47:47
staked-ether,2026-03-24,2137.93,2191.49,2027.57,2147.58,26959394.883189052,19703165561.461815,2026-05-14 21:47:47
staked-ether,2026-03-28,2148.85,2196.16,1973.29,1991.24,15256759.598890949,18307740642.76164,2026-05-14 21:47:47
staked-ether,2026-04-01,1991.26,2110.93,1952.06,2104.02,16737527.963786226,19400793660.947872,2026-05-14 21:47:47
staked-ether,2026-04-05,2104.0,2157.87,2019.77,2064.13,5226230.478118371,19178294369.8929,2026-05-14 21:47:47
staked-ether,2026-04-09,2064.6,2263.01,2023.32,2190.71,22867481.745036747,20511200812.065483,2026-05-14 21:47:47
staked-ether,2026-04-13,2189.58,2324.04,2161.41,2191.13,7676712.352362912,20617203764.864063,2026-05-14 21:47:47
staked-ether,2026-04-17,2191.88,2402.86,2179.09,2349.26,11733049.06538191,22128929421.71733,2026-05-14 21:47:47
staked-ether,2026-04-21,2348.27,2460.58,2245.02,2301.73,221716718.3516122,21672873215.824673,2026-05-14 21:47:47
staked-ether,2026-04-25,2301.03,2413.82,2283.98,2308.22,15354150.038356109,21603020930.464886,2026-05-14 21:47:47
